id,day_per_day_without_external,dynamic_without_external,dynamic_with_weather,day_per_day_with_weather,dynamic_with_promotion,day_per_day_with_promotion
283,23.3092243,24.11312483,,,,
284,658.2347348,658.8147761,,,639.8619164,639.7219621
285,226.630757,226.8510041,,,209.6126242,209.3825685
290,22.25032917,19.7099124,22.14480403,19.69464718,5.481408123,4.155612554
291,72.95280019,73.04388496,71.99691646,71.66270077,,
292,124.7587934,124.8914222,124.1221613,123.8208783,,
293,111.8685951,112.6599618,111.1617409,111.0066325,,
294,82.21044074,82.6583481,81.90615513,81.54694186,,
329,88.83742053,89.72800118,,,69.73502448,69.72330236
526,27.75128408,28.02969109,,,16.38585792,16.19755241
527,46.62168706,47.50444031,,,30.537941,30.23637391
528,45.27018844,45.27222391,,,25.93848345,25.56685757
529,72.971747,73.18028397,,,53.28930059,53.10816878
530,49.14849792,49.54908952,,,29.92162471,29.89810362
531,88.97169173,89.4891257,,,,
532,35.9901175,36.31824169,,,22.60532401,22.21916835
533,38.30062809,38.3167167,,,21.92018428,21.90282673
534,42.9358061,43.78569889,,,26.41424133,26.2419106
535,39.93383563,40.6045114,,,24.38669169,24.08990742
536,56.25395851,57.21361597,,,38.57999882,38.39566787
537,38.70452067,39.02338884,,,,
538,43.59223411,43.88978281,,,,
539,51.98448962,52.72437466,,,,
540,102.4516447,102.898761,,,,
541,18.05351017,14.30208058,,,,
542,223.3485123,223.4992598,,,,
543,44.3801083,44.87558741,,,,
544,7889.21817,7890.086564,,,,
545,63.97772187,64.16092249,,,,
612,27.01342779,7.303139714,,,,
1168,41.14404525,41.72997584,40.38163507,40.19438092,22.80557852,22.73615392
